"region","hemi","community","community_name","mean_beta","mean_tvalue"
"IP2","right",8,"FPN",-0.00175860617009595,-0.846843178606225
"IPS1","left",1,"VIS",0.00296775640188256,1.42948503460301
"IPS1","right",1,"VIS",-0.00217115270892168,-1.04576888092381
"Ig","left",2,"SM",-0.000428959747309068,-0.206653112721772
"Ig","right",2,"SM",0.000720710570145771,0.34722787241219
"LBelt","left",9,"AUD",0.00231871843364661,1.1108788119336
"LBelt","right",9,"AUD",-0.00112347143274363,-0.53419562228619
"LIPd","left",8,"FPN",0.00305034767854601,1.46994354690524
"LIPd","right",8,"FPN",-0.00381030576063111,-1.83714870704037
"LIPv","left",1,"VIS",0.000465825424654084,0.224652087114497
"LIPv","right",1,"VIS",-0.0020955993241727,-1.00965090608175
"LO1","left",1,"VIS",0.000627555554939359,0.302045143764299
"LO1","right",1,"VIS",-0.00122895261348927,-0.588628292435517
"LO2","left",1,"VIS",0.001819803028479,0.875032553640767
"LO2","right",1,"VIS",0.000363260472886055,0.175088044980911
"LO3","left",1,"VIS",-0.00447668025750218,-2.14780709629845
"LO3","right",1,"VIS",-0.00089992198444498,-0.433595444273711
"MBelt","left",9,"AUD",0.000401407653357604,0.192894887570786
"MBelt","right",9,"AUD",0.00288239137281642,1.38477987761626
"MI","left",3,"SAL",0.000870052985204841,0.418591683630957
"MI","right",3,"SAL",0.00238071873452638,1.14874213376864
"MIP","left",1,"VIS",0.00166165734798956,0.800403101752695
"MIP","right",1,"VIS",-0.00087863367620265,-0.423290088821763
"MST","left",1,"VIS",0.000537152174922029,0.258161669374056
"MST","right",1,"VIS",0.000558557199299496,0.267744505321884
"MT","left",1,"VIS",-5.08450602151862e-06,-0.00245350911838321
"MT","right",1,"VIS",0.0024960837297958,1.19554840602702
"OFC","left",10,"DMN",0.00336927381148676,1.61517660092091
"OFC","right",10,"DMN",0.000656443005049387,0.31596427635696
"OP1","left",2,"SM",0.00218469028122483,1.05363308269843
"OP1","right",2,"SM",0.00372409622372134,1.79570481611976
"OP2-3","left",2,"SM",-0.00114076879883145,-0.55077226492352
"OP2-3","right",2,"SM",0.000243794439127506,0.117540682777695
"OP4","left",2,"SM",0.00384852626279251,1.85263943312584
"OP4","right",2,"SM",-0.00160460693094913,-0.770928289173522
"PBelt","left",9,"AUD",-0.000212279186478292,-0.101240546531334
"PBelt","right",9,"AUD",-0.00378960475142002,-1.80757926948632
"PCV","left",11,"MTL",0.00496852484748767,2.39531787349616
"PCV","right",11,"MTL",0.000825703787820749,0.397191346570086
"PEF","left",6,"DAN",-0.000369691461745794,-0.178332931878565
"PEF","right",8,"FPN",0.00216458048788103,1.04430281106107
"PF","left",3,"SAL",-0.00197532949789101,-0.948850823488587
"PF","right",3,"SAL",0.00151599737392765,0.728423546284863
"PFcm","left",9,"AUD",-5.17327276264083e-05,-0.0249125806764934
"PFcm","right",9,"AUD",0.00321924979021006,1.54957381293341
"PFm","left",10,"DMN",2.03328170971906e-05,0.0097191207480923
"PFm","right",8,"FPN",0.000958566281663902,0.460373519111032
"PFop","left",6,"DAN",0.0011035537399302,0.531034317912005
"PFop","right",6,"DAN",0.00254734085596768,1.22838874474054
"PFt","left",6,"DAN",0.00274206496856513,1.32227473482511
"PFt","right",6,"DAN",0.000296028851686686,0.142697020232021
"PGi","left",10,"DMN",-0.00469114907390039,-2.26168859676785
"PGi","right",10,"DMN",0.000113128292838561,0.0543595337275366
"PGp","left",11,"MTL",0.000518106109143118,0.249065211436931
"PGp","right",11,"MTL",0.00175837508859375,0.847333258465196
"PGs","left",10,"DMN",-0.00102414418651588,-0.48981971473218
"PGs","right",10,"DMN",-0.0032917964813471,-1.57904334034861
"PH","left",1,"VIS",0.000661140417936876,0.317186872749829
"PH","right",1,"VIS",0.00300710193667753,1.4478596420473
"PHA1","left",11,"MTL",0.0010367679147955,0.499889941488287
"PHA1","right",11,"MTL",0.000674893367990286,0.324994419256237
"PHA2","left",11,"MTL",0.00175648394813691,0.847928740322223
"PHA2","right",11,"MTL",-0.00162931185114118,-0.785850682497061
"PHA3","left",11,"MTL",0.00199606867001406,0.960137376703121
"PHA3","right",11,"MTL",-0.00392461694697428,-1.89111138351998
"PHT","left",8,"FPN",-0.000701685763878072,-0.33645651026464
"PHT","right",8,"FPN",0.00211853728881727,1.01977819638216
"PI","left",9,"AUD",0.00324377282799818,1.56352215209847
"PI","right",9,"AUD",0.00261327157304797,1.25832848736403
"PIT","left",1,"VIS",-0.000949237086008334,-0.456284738755189
"PIT","right",1,"VIS",0.000399499963818557,0.193011648440188
"POS1","left",10,"DMN",0.000866558170928268,0.415872819798239
"POS1","right",11,"MTL",0.000708321901141683,0.339875791979696
"POS2","left",11,"MTL",-0.0001663394542993,-0.0793820216442626
"POS2","right",11,"MTL",0.00443177773957888,2.1247397692401
"PSL","left",7,"LANG",-0.00033431114032187,-0.160645637090344
"PSL","right",3,"SAL",-0.000240309997603128,-0.115298953432093
"PeEc","left",11,"MTL",0.00130697305396416,0.630764607462943
"PeEc","right",11,"MTL",0.00261182602481725,1.26004691162704
"Pir","left",9,"AUD",3.88667487930171e-05,0.018706484442846
"Pir","right",9,"AUD",0.00178800731360493,0.86174624986844
"PoI1","left",9,"AUD",-0.000185761277685198,-0.0893107180854036
"PoI1","right",9,"AUD",0.00230285914736246,1.10919738262929
"PoI2","left",9,"AUD",0.000644598138581664,0.310025996488666
"PoI2","right",9,"AUD",0.00308682703371233,1.488069248267
"PreS","left",11,"MTL",3.78462563589277e-05,0.0181239506076696
"PreS","right",11,"MTL",0.00295464502219395,1.42076692279214
"ProS","left",11,"MTL",0.00489741116886573,2.35485896177498
"ProS","right",11,"MTL",0.0040237940484274,1.94168878195342
"RI","left",9,"AUD",-0.000524934770998111,-0.252795701512675
"RI","right",9,"AUD",-0.000553947991534329,-0.266609188022122
"RSC","left",10,"DMN",0.00244756730236998,1.17558843970247
"RSC","right",10,"DMN",0.00146969564760069,0.7041498633766
"SCEF","left",3,"SAL",0.00251967545540713,1.21376291032408
"SCEF","right",3,"SAL",0.00118395161647924,0.569406343505644
"SFL","left",7,"LANG",-0.00341474224293346,-1.64622391077282
"SFL","right",7,"LANG",-0.00164764945806778,-0.793473251057494
"STGa","left",7,"LANG",0.00565788919572233,2.72270361864215
"STGa","right",7,"LANG",0.00316703766550681,1.5275983630618
"STSda","left",7,"LANG",0.000541398345758981,0.26087189874447
"STSda","right",7,"LANG",0.0040453793305118,1.94949599008275
"STSdp","left",7,"LANG",0.000939033072469421,0.452115598222933
"STSdp","right",7,"LANG",0.0018093470970835,0.868982946821832
"STSva","left",10,"DMN",0.00252090991850559,1.21239992234792
"STSva","right",10,"DMN",-0.000706461410963371,-0.340310032953256
"STSvp","left",7,"LANG",-0.00192313478160495,-0.927034119248916
"STSvp","right",7,"LANG",-0.00233907856506212,-1.12679326797463
"STV","left",7,"LANG",0.00309583640749439,1.4927532356332
"STV","right",7,"LANG",0.00464794140500909,2.24381213599388
"TA2","left",9,"AUD",0.00032112133133584,0.154722624216119
"TA2","right",9,"AUD",-8.17407725193807e-06,-0.00391342061226566
"TE1a","left",10,"DMN",0.00239817905568723,1.15541222043713
"TE1a","right",10,"DMN",0.00124662563551332,0.600420320639715
"TE1m","left",10,"DMN",0.00144048527569989,0.693832414897771
"TE1m","right",10,"DMN",-0.00217048019936952,-1.04632828809919
"TE1p","left",8,"FPN",0.00592394351780518,2.83928191008992
"TE1p","right",8,"FPN",-0.000365629338413635,-0.175860363109416
"TE2a","left",10,"DMN",0.0041819925553768,2.01139298830246
"TE2a","right",10,"DMN",0.00325032175812217,1.56996990958446
"TE2p","left",8,"FPN",-0.0014442458955198,-0.695788130836103
"TE2p","right",6,"DAN",0.00319322203493144,1.5394117461576
"TF","left",7,"LANG",0.00236402587525607,1.13935503984195
"TF","right",11,"MTL",-0.000337526733961754,-0.162818816917687
"TGd","left",10,"DMN",-0.000445707535401862,-0.214585545739761
"TGd","right",10,"DMN",-2.35475808088159e-06,-0.00113401158906137
"TGv","left",7,"LANG",0.00251568550515885,1.21111943493584
"TGv","right",7,"LANG",0.000275327723846873,0.132529968708317
"TPOJ1","left",7,"LANG",0.00174140960504425,0.830674421034536
"TPOJ1","right",7,"LANG",0.00267440950587802,1.28214838207127
"TPOJ2","left",7,"LANG",-0.0027394488735532,-1.31793680653536
"TPOJ2","right",6,"DAN",0.00112355625376767,0.540636538461629
"TPOJ3","left",11,"MTL",0.00158940958902661,0.767275690314137
"TPOJ3","right",11,"MTL",0.000724429134639171,0.349251820805704
"V1","left",1,"VIS",0.0053018563831403,2.49410784170692
"V1","right",1,"VIS",0.00807931688793366,3.81833528201487
"V2","left",1,"VIS",0.00720525645567041,3.42885189262144
"V2","right",1,"VIS",0.00659635714250629,3.1265449940577
"V3","left",1,"VIS",0.000826450591334998,0.395390011769855
"V3","right",1,"VIS",0.0107885366526211,5.1675360719264
"V3A","left",1,"VIS",0.00247116664303308,1.18867132465261
"V3A","right",1,"VIS",0.0022348656753494,1.0752676585642
"V3B","left",1,"VIS",-0.00429406820258106,-2.06429309081674
"V3B","right",1,"VIS",-0.000891621428978386,-0.429597598796049
"V3CD","left",1,"VIS",0.00172827308092671,0.834434196313544
"V3CD","right",1,"VIS",0.000952866584369461,0.459421404340014
"V4","left",1,"VIS",-0.00077667833168908,-0.37209451510291
"V4","right",1,"VIS",-0.000410285712299936,-0.197480766447693
"V4t","left",1,"VIS",0.00306157058869646,1.46981596107835
"V4t","right",1,"VIS",-0.000666549709240952,-0.319932421160222
"V6","left",1,"VIS",0.00382715442789793,1.84093737359493
"V6","right",1,"VIS",0.000200376170518038,0.0963657578603425
"V6A","left",1,"VIS",-0.0027077678940493,-1.30563641613172
"V6A","right",1,"VIS",-0.000180286816701424,-0.0869311847339727
"V7","left",1,"VIS",-0.00140028023850322,-0.672921857049164
"V7","right",1,"VIS",0.000352477971420989,0.169775307437202
"V8","left",1,"VIS",0.00126529814535057,0.610046779372426
"V8","right",1,"VIS",-0.00265425108141262,-1.27898155315422
"VIP","left",1,"VIS",-0.000697097527371006,-0.336747215492092
"VIP","right",1,"VIS",0.00301446917285229,1.45451101362232
"VMV1","left",1,"VIS",-0.00141561805678329,-0.679557252742523
"VMV1","right",1,"VIS",0.00034568571277909,0.166575967939499
"VMV2","left",1,"VIS",-0.00146709737789024,-0.70558841033152
"VMV2","right",1,"VIS",0.00219976761256768,1.05839755923282
"VMV3","left",1,"VIS",0.000694815302170213,0.334902779504949
"VMV3","right",1,"VIS",0.00063427794637692,0.305692995583406
"VVC","left",1,"VIS",0.00170617489401372,0.821088419272891
"VVC","right",1,"VIS",-0.000630133457938606,-0.303421531488086
"a10p","left",10,"DMN",0.00414383607463399,1.99436166864907
"a10p","right",8,"FPN",0.00266216161466169,1.28123150074569
"a24","left",10,"DMN",0.00790165999972353,3.8109167195278
"a24","right",10,"DMN",0.00533302939674797,2.56812283668001
"a24pr","left",3,"SAL",-0.000135231857580706,-0.0651244612664819
"a24pr","right",3,"SAL",0.00503635678856574,2.42104122266318
"a32pr","left",3,"SAL",0.00192444048437997,0.926547493639001
"a32pr","right",3,"SAL",0.00398196956478965,1.92237248769086
"a47r","left",8,"FPN",0.00202793953680878,0.974515188758907
"a47r","right",8,"FPN",-0.00183059034509545,-0.880385581322709
"a9-46v","left",8,"FPN",0.00220308693886408,1.06144580474659
"a9-46v","right",8,"FPN",0.00198096465440154,0.954972312344762
"d23ab","left",10,"DMN",0.00239999086346663,1.15309177255297
"d23ab","right",10,"DMN",0.00529438555007565,2.53947441100186
"d32","left",10,"DMN",0.00104704249693109,0.503746383171796
"d32","right",10,"DMN",-0.000690131524303559,-0.33294652705753
"i6-8","left",8,"FPN",-0.00414005258679946,-1.99565494304559
"i6-8","right",8,"FPN",0.00639614974413358,3.08050946653242
"p10p","left",10,"DMN",0.00518713605014633,2.50256513159339
"p10p","right",10,"DMN",-0.000305379291474862,-0.14721519748478
"p24","left",3,"SAL",0.00349712269372938,1.68679760807287
"p24","right",3,"SAL",0.00190421531363192,0.910193697502241
"p24pr","left",9,"AUD",0.00350459532013914,1.68660167331316
"p24pr","right",3,"SAL",0.00436577074293852,2.10115325828439
"p32","left",10,"DMN",0.000129721656958406,0.0626825662971197
"p32","right",10,"DMN",0.00116519341622275,0.561422367082374
"p32pr","left",3,"SAL",0.00111631842750468,0.537393462336424
"p32pr","right",3,"SAL",0.000302757258339658,0.145431991596042
"p47r","left",8,"FPN",0.00217630859058141,1.04834852768903
"p47r","right",8,"FPN",-0.000558450803235415,-0.268701581125296
"p9-46v","left",8,"FPN",0.000712705519463133,0.342778725385562
"p9-46v","right",8,"FPN",0.00209543843230945,1.00811498996081
"pOFC","left",10,"DMN",0.00422925264411496,2.03348597213255
"pOFC","right",10,"DMN",0.00126487996704973,0.608675363170273
"s32","left",10,"DMN",0.00172061435345605,0.830154033314822
"s32","right",10,"DMN",0.00275924912679685,1.33106292291023
"s6-8","left",10,"DMN",0.000939280569506414,0.451731867002169
"s6-8","right",8,"FPN",0.00285326088363862,1.37311090368897
"v23ab","left",10,"DMN",-0.000766197476565033,-0.368093924971502
"v23ab","right",10,"DMN",-0.00195282603456969,-0.941177611044018
NA,"left",NA,NA,NA,NA
NA,"right",NA,NA,NA,NA
