"region","hemi","community","community_name","mean_beta","mean_tvalue"
"p32","left",10,"DMN",0.00293983509796697,1.41315390084288
"p32","right",10,"DMN",0.0023044053321062,1.11106819883565
"p32pr","left",3,"SAL",-0.0010017677738125,-0.483954493000763
"p32pr","right",3,"SAL",0.000474506765489161,0.228474433454586
"p47r","left",8,"FPN",-0.00174903322487444,-0.843299776243016
"p47r","right",8,"FPN",-0.0012909630643354,-0.623487742526834
"p9-46v","left",8,"FPN",-0.000540997253167929,-0.260837340728501
"p9-46v","right",8,"FPN",-0.00143586144842789,-0.693369836785005
"pOFC","left",10,"DMN",-0.00169882244844337,-0.819431747663298
"pOFC","right",10,"DMN",-0.00143732591883076,-0.692399573146788
"s32","left",10,"DMN",0.00287940090360712,1.39075699161897
"s32","right",10,"DMN",-0.00060444851235445,-0.291853493520623
"s6-8","left",10,"DMN",-0.00417471309247177,-2.01433013835677
"s6-8","right",8,"FPN",-0.000126604642896514,-0.0609933159627902
"v23ab","left",10,"DMN",0.00369182370655301,1.77834878125991
"v23ab","right",10,"DMN",0.00158100778352552,0.762533123763563
NA,"left",NA,NA,NA,NA
NA,"right",NA,NA,NA,NA
